variant,system,tick,actual_request_rate,scaled_demand,predicted_demand,p10,p50,p90,monitored,burst,next_interval_seconds,after_stretched_interval,replicas,cpu_millicores,utilization,response_ms,slo_violation,resource_cost,rolling_overlap_cost,execution_backend
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,29,781.0,1135.541195476575,758.1940305233547,758.1940305233547,758.1940305233547,758.1940305233547,True,False,60,False,2,900,1.5,687.5,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,30,694.0,1009.0468497576736,760.4756093594006,760.4756093594006,760.4756093594006,760.4756093594006,True,False,60,False,2,900,1.334718055235018,507.9973807376258,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,31,659.0,958.1583198707592,759.3015688694177,759.3015688694177,759.3015688694177,759.3015688694177,True,False,60,False,2,900,1.2674051850142318,446.45355876216206,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,32,585.0,850.5654281098546,758.0372838327748,758.0372838327748,758.0372838327748,758.0372838327748,True,False,60,False,2,900,1.1250865451188552,336.34821522999425,False,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,33,586.0,852.0193861066235,755.7021319668056,755.7021319668056,755.7021319668056,755.7021319668056,True,False,60,False,2,900,1.1270097699823063,337.6650699325333,False,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,34,667.0,969.7899838449111,754.6988711902268,754.6988711902268,754.6988711902268,754.6988711902268,True,False,60,False,2,900,1.28279098392184,459.9620320298588,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,35,777.0,1129.7253634894992,756.1261584008062,756.1261584008062,756.1261584008062,756.1261584008062,True,False,60,False,2,900,1.494345718901454,680.6559123509704,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,36,764.0,1110.8239095315023,759.3323612353524,759.3323612353524,759.3323612353524,759.3323612353524,True,False,60,False,2,900,1.4693437956765902,651.0087661245578,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,37,821.0,1193.6995153473345,760.3779803317193,760.3779803317193,760.3779803317193,760.3779803317193,True,False,60,False,2,900,1.5,687.5,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,38,547.0,795.3150242326333,762.3352775866988,762.3352775866988,762.3352775866988,762.3352775866988,True,False,60,False,2,900,1.052004000307716,289.56786011362794,False,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,39,679.0,987.2374798061389,756.5745293696345,756.5745293696345,756.5745293696345,756.5745293696345,True,False,60,False,2,900,1.3058696822832525,480.84089457836,True,0.108,0.0,rolling
